expected_cut,best_sampled_cut,optimizer,depth,noise_condition,optimizer_evaluations,circuit_executions,total_executed_shots,two_qubit_gates,circuit_depth,simulator_runtime_seconds,optimal_parameters,experiment_id,graph_id,graph_family,num_nodes,num_edges,graph_seed,config_id,shots_per_circuit,exact_optimum,run_seed,schema_version,expected_approximation_ratio,best_sampled_approximation_ratio,run_status,failure_reason
8.66796875,12,SPSA,1,N0,79,80,40960,15,9,0.651088609999988,"(2.3876726626706755, 1.1548856631794455)",G0003_C04_N0_S1000,G0003,erdos_renyi,10,15,10002,C04,512,12,1000,1.0,0.7223307291666666,1.0,success,
8.744140625,12,SPSA,1,N0,79,80,40960,15,9,0.7012123189999784,"(2.4779973422085892, -0.3577124804593715)",G0003_C04_N0_S1001,G0003,erdos_renyi,10,15,10002,C04,512,12,1001,1.0,0.7286783854166666,1.0,success,
8.24609375,12,COBYLA,2,N0,40,41,10496,30,14,0.3558932179998919,"(1.688480157847635, 2.4543887970419487, 1.2981276936309882, 0.2391505243068655)",G0003_C05_N0_S1000,G0003,erdos_renyi,10,15,10002,C05,256,12,1000,1.0,0.6871744791666666,1.0,success,
8.45703125,12,COBYLA,2,N0,40,41,10496,30,14,0.3379262399998879,"(1.597855905325524, 0.7324319697531163, 0.2392156729914961, 1.0756026896668445)",G0003_C05_N0_S1001,G0003,erdos_renyi,10,15,10002,C05,256,12,1001,1.0,0.7047526041666666,1.0,success,
8.42578125,12,COBYLA,2,N0,49,50,25600,30,14,0.509834101000024,"(1.6273417773304923, 2.3700778560906253, 1.3747073192826917, 0.3286564276195015)",G0003_C06_N0_S1000,G0003,erdos_renyi,10,15,10002,C06,512,12,1000,1.0,0.7021484375,1.0,success,
8.408203125,12,COBYLA,2,N0,42,43,22016,30,14,0.4658170819998304,"(1.6145602796843632, 0.8932122015968584, 0.22042913745232737, 0.988994004935643)",G0003_C06_N0_S1001,G0003,erdos_renyi,10,15,10002,C06,512,12,1001,1.0,0.70068359375,1.0,success,
7.5,12,SPSA,2,N0,79,80,20480,30,14,0.5645476299998791,"(1.4740910401359124, 1.8254136716198497, 0.854013750881672, 0.2605948519362776)",G0003_C07_N0_S1000,G0003,erdos_renyi,10,15,10002,C07,256,12,1000,1.0,0.625,1.0,success,
8.828125,12,SPSA,2,N0,79,80,20480,30,14,0.570093573999884,"(1.8730805856785409, 0.7689248027328, 0.10946276992157973, 1.1490633210473984)",G0003_C07_N0_S1001,G0003,erdos_renyi,10,15,10002,C07,256,12,1001,1.0,0.7356770833333334,1.0,success,
7.59765625,12,SPSA,2,N0,79,80,40960,30,14,0.7413186060000498,"(1.4846508499135012, 1.8071472344173625, 0.837645548488567, 0.3111200274577124)",G0003_C08_N0_S1000,G0003,erdos_renyi,10,15,10002,C08,512,12,1000,1.0,0.6331380208333334,1.0,success,
8.7734375,12,SPSA,2,N0,79,80,40960,30,14,0.7188385209999524,"(1.6914746677324957, 0.93347023917836, 0.10311811931393353, 1.1953479775570366)",G0003_C08_N0_S1001,G0003,erdos_renyi,10,15,10002,C08,512,12,1001,1.0,0.7311197916666666,1.0,success,
