graph_id,config_id,noise_condition,depth,optimizer,shots,mean_expected_approximation_ratio,std_expected_approximation_ratio,n_seeds,num_nodes,num_edges,graph_family,graph_seed,density,optimizer_code,noise_code,family_code
G0008,C11,N0,3,SPSA,256,0.685546875,0.0032224918413449955,2,10,15,erdos_renyi,10007,0.3333333333333333,1,0,0
G0008,C12,N0,3,SPSA,512,0.6925455729166667,0.020485840991407153,2,10,15,erdos_renyi,10007,0.3333333333333333,1,0,0
G0009,C01,N0,1,COBYLA,256,0.578515625,0.018966666266201686,2,10,17,erdos_renyi,10008,0.37777777777777777,0,0,0
G0009,C02,N0,1,COBYLA,512,0.6534505208333333,0.1155493503110829,2,10,17,erdos_renyi,10008,0.37777777777777777,0,0,0
G0009,C03,N0,1,SPSA,256,0.5838541666666667,0.016572815184059706,2,10,17,erdos_renyi,10008,0.37777777777777777,1,0,0
G0009,C04,N0,1,SPSA,512,0.5825520833333333,0.015652103229389737,2,10,17,erdos_renyi,10008,0.37777777777777777,1,0,0
G0009,C05,N0,2,COBYLA,256,0.58125,0.00883883476483193,2,10,17,erdos_renyi,10008,0.37777777777777777,0,0,0
G0009,C06,N0,2,COBYLA,512,0.5856770833333333,0.0005524271728019589,2,10,17,erdos_renyi,10008,0.37777777777777777,0,0,0
G0009,C07,N0,2,SPSA,256,0.5872395833333334,0.0003682847818679726,2,10,17,erdos_renyi,10008,0.37777777777777777,1,0,0
G0009,C08,N0,2,SPSA,512,0.5858723958333334,0.00027621358640094015,2,10,17,erdos_renyi,10008,0.37777777777777777,1,0,0
G0009,C09,N0,3,COBYLA,256,0.5934895833333333,0.01694109996592768,2,10,17,erdos_renyi,10008,0.37777777777777777,0,0,0
G0009,C10,N0,3,COBYLA,512,0.5915364583333333,0.013074109756313812,2,10,17,erdos_renyi,10008,0.37777777777777777,0,0,0
G0009,C11,N0,3,SPSA,256,0.570703125,0.01933495104806966,2,10,17,erdos_renyi,10008,0.37777777777777777,1,0,0
G0009,C12,N0,3,SPSA,512,0.5786458333333333,0.009943689110435848,2,10,17,erdos_renyi,10008,0.37777777777777777,1,0,0
G0010,C01,N0,1,COBYLA,256,0.6282087053571428,0.10200173154951035,2,10,15,erdos_renyi,10009,0.3333333333333333,0,0,0
G0010,C02,N0,1,COBYLA,512,0.6200474330357143,0.1022976746777971,2,10,15,erdos_renyi,10009,0.3333333333333333,0,0,0
G0010,C03,N0,1,SPSA,256,0.6040736607142857,0.08168030340715136,2,10,15,erdos_renyi,10009,0.3333333333333333,1,0,0
G0010,C04,N0,1,SPSA,512,0.5851702008928572,0.03008755137582271,2,10,15,erdos_renyi,10009,0.3333333333333333,1,0,0
G0010,C05,N0,2,COBYLA,256,0.5844029017857143,0.01716470144063329,2,10,15,erdos_renyi,10009,0.3333333333333333,0,0,0
G0010,C06,N0,2,COBYLA,512,0.595703125,0.026042995289236728,2,10,15,erdos_renyi,10009,0.3333333333333333,0,0,0
G0010,C07,N0,2,SPSA,256,0.6139787946428572,0.011245838874897732,2,10,15,erdos_renyi,10009,0.3333333333333333,1,0,0
G0010,C08,N0,2,SPSA,512,0.6024693080357143,0.0077931690448851745,2,10,15,erdos_renyi,10009,0.3333333333333333,1,0,0
G0010,C09,N0,3,COBYLA,256,0.5732421875,0.04281310589215424,2,10,15,erdos_renyi,10009,0.3333333333333333,0,0,0
G0010,C10,N0,3,COBYLA,512,0.5749162946428572,0.04439146924301707,2,10,15,erdos_renyi,10009,0.3333333333333333,0,0,0
G0010,C11,N0,3,SPSA,256,0.6668526785714286,0.10930166204725092,2,10,15,erdos_renyi,10009,0.3333333333333333,1,0,0
G0010,C12,N0,3,SPSA,512,0.6906389508928572,0.14767562101510337,2,10,15,erdos_renyi,10009,0.3333333333333333,1,0,0
G0011,C01,N0,1,COBYLA,256,0.63759765625,0.0020716018980074633,2,12,25,erdos_renyi,10010,0.3787878787878788,0,0,0
G0011,C02,N0,1,COBYLA,512,0.636083984375,0.009460315334234115,2,12,25,erdos_renyi,10010,0.3787878787878788,0,0,0
G0011,C03,N0,1,SPSA,256,0.6337890625,0.011877184215242823,2,12,25,erdos_renyi,10010,0.3787878787878788,1,0,0
G0011,C04,N0,1,SPSA,512,0.639599609375,0.00462657757221666,2,12,25,erdos_renyi,10010,0.3787878787878788,1,0,0
G0011,C05,N0,2,COBYLA,256,0.63232421875,0.009529368730834301,2,12,25,erdos_renyi,10010,0.3787878787878788,0,0,0
G0011,C06,N0,2,COBYLA,512,0.6932617187500001,0.08534999819790755,2,12,25,erdos_renyi,10010,0.3787878787878788,0,0,0
G0011,C07,N0,2,SPSA,256,0.66884765625,0.06560072677023635,2,12,25,erdos_renyi,10010,0.3787878787878788,1,0,0
G0011,C08,N0,2,SPSA,512,0.65849609375,0.040741503994146784,2,12,25,erdos_renyi,10010,0.3787878787878788,1,0,0
G0011,C09,N0,3,COBYLA,256,0.62578125,0.0022097086912078747,2,12,25,erdos_renyi,10010,0.3787878787878788,0,0,0
G0011,C10,N0,3,COBYLA,512,0.6498046875000001,0.003866990209613908,2,12,25,erdos_renyi,10010,0.3787878787878788,0,0,0
G0011,C11,N0,3,SPSA,256,0.65107421875,0.002347815484408482,2,12,25,erdos_renyi,10010,0.3787878787878788,1,0,0
G0011,C12,N0,3,SPSA,512,0.703515625,0.07236795963706069,2,12,25,erdos_renyi,10010,0.3787878787878788,1,0,0
G0012,C01,N0,1,COBYLA,256,0.6027560763888888,0.0041432037960149265,2,12,22,erdos_renyi,10011,0.3333333333333333,0,0,0
G0012,C02,N0,1,COBYLA,512,0.6254340277777778,0.0021483278942299447,2,12,22,erdos_renyi,10011,0.3333333333333333,0,0,0
G0012,C03,N0,1,SPSA,256,0.6130642361111112,0.019948759017849628,2,12,22,erdos_renyi,10011,0.3333333333333333,1,0,0
G0012,C04,N0,1,SPSA,512,0.6152886284722222,0.009590749527812348,2,12,22,erdos_renyi,10011,0.3333333333333333,1,0,0
