graph_id,config_id,noise_condition,run_seed,depth,optimizer,shots,expected_approximation_ratio
G0013,C03,N0,1001,1,SPSA,256,0.6421130952380952
G0013,C04,N0,1000,1,SPSA,512,0.6420200892857143
G0013,C04,N0,1001,1,SPSA,512,0.6476004464285714
G0013,C05,N0,1000,2,COBYLA,256,0.6270461309523809
G0013,C05,N0,1001,2,COBYLA,256,0.6264880952380952
G0013,C06,N0,1000,2,COBYLA,512,0.6414620535714286
G0013,C06,N0,1001,2,COBYLA,512,0.6541108630952381
G0013,C07,N0,1000,2,SPSA,256,0.6441592261904762
G0013,C07,N0,1001,2,SPSA,256,0.6452752976190477
G0013,C08,N0,1000,2,SPSA,512,0.6596912202380952
G0013,C08,N0,1001,2,SPSA,512,0.6408110119047619
G0013,C09,N0,1000,3,COBYLA,256,0.6199776785714286
G0013,C09,N0,1001,3,COBYLA,256,0.6350446428571429
G0013,C10,N0,1000,3,COBYLA,512,0.619140625
G0013,C10,N0,1001,3,COBYLA,512,0.6650855654761905
G0013,C11,N0,1000,3,SPSA,256,0.6430431547619048
G0013,C11,N0,1001,3,SPSA,256,0.6437872023809523
G0013,C12,N0,1000,3,SPSA,512,0.6295572916666666
G0013,C12,N0,1001,3,SPSA,512,0.6495535714285714
G0014,C01,N0,1000,1,COBYLA,256,0.576891447368421
G0014,C01,N0,1001,1,COBYLA,256,0.572985197368421
G0014,C02,N0,1000,1,COBYLA,512,0.5870682565789473
G0014,C02,N0,1001,1,COBYLA,512,0.5824424342105263
G0014,C03,N0,1000,1,SPSA,256,0.59765625
G0014,C03,N0,1001,1,SPSA,256,0.578125
G0014,C04,N0,1000,1,SPSA,512,0.5921052631578947
G0014,C04,N0,1001,1,SPSA,512,0.5885074013157895
G0014,C05,N0,1000,2,COBYLA,256,0.5803865131578947
G0014,C05,N0,1001,2,COBYLA,256,0.5783305921052632
G0014,C06,N0,1000,2,COBYLA,512,0.5936472039473685
G0014,C06,N0,1001,2,COBYLA,512,0.5892269736842105
G0014,C07,N0,1000,2,SPSA,256,0.5810032894736842
G0014,C07,N0,1001,2,SPSA,256,0.5748355263157895
G0014,C08,N0,1000,2,SPSA,512,0.5842927631578947
G0014,C08,N0,1001,2,SPSA,512,0.5912828947368421
G0014,C09,N0,1000,3,COBYLA,256,0.5760690789473685
G0014,C09,N0,1001,3,COBYLA,256,0.5853207236842105
G0014,C10,N0,1000,3,COBYLA,512,0.5797697368421053
G0014,C10,N0,1001,3,COBYLA,512,0.588610197368421
G0014,C11,N0,1000,3,SPSA,256,0.5789473684210527
G0014,C11,N0,1001,3,SPSA,256,0.5840871710526315
G0014,C12,N0,1000,3,SPSA,512,0.5838815789473685
G0014,C12,N0,1001,3,SPSA,512,0.5875822368421053
G0015,C01,N0,1000,1,COBYLA,256,0.6663240131578947
G0015,C01,N0,1001,1,COBYLA,256,0.6572779605263158
G0015,C02,N0,1000,1,COBYLA,512,0.611328125
G0015,C02,N0,1001,1,COBYLA,512,0.6747532894736842
G0015,C03,N0,1000,1,SPSA,256,0.5818256578947368
G0015,C03,N0,1001,1,SPSA,256,0.62890625
G0015,C04,N0,1000,1,SPSA,512,0.6062911184210527
G0015,C04,N0,1001,1,SPSA,512,0.6112253289473685
G0015,C05,N0,1000,2,COBYLA,256,0.6138980263157895
G0015,C05,N0,1001,2,COBYLA,256,0.6437088815789473
G0015,C06,N0,1000,2,COBYLA,512,0.6806126644736842
G0015,C06,N0,1001,2,COBYLA,512,0.6559416118421053
G0015,C07,N0,1000,2,SPSA,256,0.6402138157894737
G0015,C07,N0,1001,2,SPSA,256,0.6774259868421053
G0015,C08,N0,1000,2,SPSA,512,0.6326069078947368
G0015,C08,N0,1001,2,SPSA,512,0.6839021381578947
G0015,C09,N0,1000,3,COBYLA,256,0.5974506578947368
G0015,C09,N0,1001,3,COBYLA,256,0.6825657894736842
G0015,C10,N0,1000,3,COBYLA,512,0.6059827302631579
G0015,C10,N0,1001,3,COBYLA,512,0.6688939144736842
G0015,C11,N0,1000,3,SPSA,256,0.6638569078947368
G0015,C11,N0,1001,3,SPSA,256,0.7006578947368421
G0015,C12,N0,1000,3,SPSA,512,0.68359375
G0015,C12,N0,1001,3,SPSA,512,0.6317845394736842
G0016,C01,N0,1000,1,COBYLA,256,0.6033203125
G0016,C01,N0,1001,1,COBYLA,256,0.5853515625
G0016,C02,N0,1000,1,COBYLA,512,0.61669921875
G0016,C02,N0,1001,1,COBYLA,512,0.60595703125
G0016,C03,N0,1000,1,SPSA,256,0.621484375
G0016,C03,N0,1001,1,SPSA,256,0.619921875
G0016,C04,N0,1000,1,SPSA,512,0.61708984375
G0016,C04,N0,1001,1,SPSA,512,0.61953125
G0016,C05,N0,1000,2,COBYLA,256,0.7330078125
G0016,C05,N0,1001,2,COBYLA,256,0.594140625
G0016,C06,N0,1000,2,COBYLA,512,0.59501953125
G0016,C06,N0,1001,2,COBYLA,512,0.59970703125
G0016,C07,N0,1000,2,SPSA,256,0.622265625
G0016,C07,N0,1001,2,SPSA,256,0.617578125
G0016,C08,N0,1000,2,SPSA,512,0.62421875
G0016,C08,N0,1001,2,SPSA,512,0.6232421875
G0016,C09,N0,1000,3,COBYLA,256,0.587890625
G0016,C09,N0,1001,3,COBYLA,256,0.6078125
G0016,C10,N0,1000,3,COBYLA,512,0.593359375
G0016,C10,N0,1001,3,COBYLA,512,0.616015625
G0016,C11,N0,1000,3,SPSA,256,0.6197265625
G0016,C11,N0,1001,3,SPSA,256,0.6162109375
G0016,C12,N0,1000,3,SPSA,512,0.60166015625
G0016,C12,N0,1001,3,SPSA,512,0.61376953125
