graph_id,config_id,noise_condition,depth,optimizer,shots,mean_expected_approximation_ratio,std_expected_approximation_ratio,n_seeds,num_nodes,num_edges,graph_family,graph_seed,density,optimizer_code,noise_code,family_code,split
G0057,C11,N0,3,SPSA,256,0.743896484375,0.1577870112315684,2,10,20,random_regular,10056,0.4444444444444444,1,0,1,validation
G0057,C12,N0,3,SPSA,512,0.721435546875,0.0814830079882935,2,10,20,random_regular,10056,0.4444444444444444,1,0,1,validation
G0058,C01,N0,1,COBYLA,256,0.774658203125,0.011393810439041,2,10,20,random_regular,10057,0.4444444444444444,0,0,1,train
G0058,C02,N0,1,COBYLA,512,0.7689208984375,0.0094948420325342,2,10,20,random_regular,10057,0.4444444444444444,0,0,1,train
G0058,C03,N0,1,SPSA,256,0.78955078125,0.0075958736260273,2,10,20,random_regular,10057,0.4444444444444444,1,0,1,train
G0058,C04,N0,1,SPSA,512,0.76904296875,0.0303834945041094,2,10,20,random_regular,10057,0.4444444444444444,1,0,1,train
G0058,C05,N0,2,COBYLA,256,0.71337890625,0.0158822812180572,2,10,20,random_regular,10057,0.4444444444444444,0,0,1,train
G0058,C06,N0,2,COBYLA,512,0.78369140625,0.0037979368130136,2,10,20,random_regular,10057,0.4444444444444444,0,0,1,train
G0058,C07,N0,2,SPSA,256,0.784912109375,0.0189896840650684,2,10,20,random_regular,10057,0.4444444444444444,1,0,1,train
G0058,C08,N0,2,SPSA,512,0.8216552734375,0.0295203270466063,2,10,20,random_regular,10057,0.4444444444444444,1,0,1,train
G0058,C09,N0,3,COBYLA,256,0.727294921875,0.1778124962456406,2,10,20,random_regular,10057,0.4444444444444444,0,0,1,train
G0058,C10,N0,3,COBYLA,512,0.8460693359375,0.0233055213525839,2,10,20,random_regular,10057,0.4444444444444444,0,0,1,train
G0058,C11,N0,3,SPSA,256,0.7197265625,0.0725060664302612,2,10,20,random_regular,10057,0.4444444444444444,1,0,1,train
G0058,C12,N0,3,SPSA,512,0.7379150390625,0.1148012718479136,2,10,20,random_regular,10057,0.4444444444444444,1,0,1,train
G0059,C01,N0,1,COBYLA,256,0.6150173611111112,0.0926850034367784,2,10,20,random_regular,10058,0.4444444444444444,0,0,1,train
G0059,C02,N0,1,COBYLA,512,0.7218967013888888,0.0084398595844748,2,10,20,random_regular,10058,0.4444444444444444,0,0,1,train
G0059,C03,N0,1,SPSA,256,0.6436631944444444,0.1074163947114981,2,10,20,random_regular,10058,0.4444444444444444,1,0,1,train
G0059,C04,N0,1,SPSA,512,0.6344401041666666,0.1167769662506429,2,10,20,random_regular,10058,0.4444444444444444,1,0,1,train
G0059,C05,N0,2,COBYLA,256,0.7111545138888888,0.0389768060810292,2,10,20,random_regular,10058,0.4444444444444444,0,0,1,train
G0059,C06,N0,2,COBYLA,512,0.6689453125,0.109718174598173,2,10,20,random_regular,10058,0.4444444444444444,0,0,1,train
G0059,C07,N0,2,SPSA,256,0.6514756944444444,0.1448586808680775,2,10,20,random_regular,10058,0.4444444444444444,1,0,1,train
G0059,C08,N0,2,SPSA,512,0.6527777777777778,0.1347308493667076,2,10,20,random_regular,10058,0.4444444444444444,1,0,1,train
G0059,C09,N0,3,COBYLA,256,0.7326388888888888,0.0816364599807386,2,10,20,random_regular,10058,0.4444444444444444,0,0,1,train
G0059,C10,N0,3,COBYLA,512,0.8204210069444444,0.0286955225872144,2,10,20,random_regular,10058,0.4444444444444444,0,0,1,train
G0059,C11,N0,3,SPSA,256,0.6631944444444444,0.1430172569587374,2,10,20,random_regular,10058,0.4444444444444444,1,0,1,train
G0059,C12,N0,3,SPSA,512,0.6779513888888888,0.1249099218502277,2,10,20,random_regular,10058,0.4444444444444444,1,0,1,train
G0060,C01,N0,1,COBYLA,256,0.6923828125,0.0897694155803234,2,10,20,random_regular,10059,0.4444444444444444,0,0,1,train
G0060,C02,N0,1,COBYLA,512,0.701416015625,0.0932220854103358,2,10,20,random_regular,10059,0.4444444444444444,0,0,1,train
G0060,C03,N0,1,SPSA,256,0.691162109375,0.1163549732714192,2,10,20,random_regular,10059,0.4444444444444444,1,0,1,train
G0060,C04,N0,1,SPSA,512,0.71337890625,0.083554609886301,2,10,20,random_regular,10059,0.4444444444444444,1,0,1,train
G0060,C05,N0,2,COBYLA,256,0.72900390625,0.0593859210762139,2,10,20,random_regular,10059,0.4444444444444444,0,0,1,train
G0060,C06,N0,2,COBYLA,512,0.7662353515625,0.0081137741005292,2,10,20,random_regular,10059,0.4444444444444444,0,0,1,train
G0060,C07,N0,2,SPSA,256,0.687255859375,0.1004726920533619,2,10,20,random_regular,10059,0.4444444444444444,1,0,1,train
G0060,C08,N0,2,SPSA,512,0.7159423828125,0.1406962955730069,2,10,20,random_regular,10059,0.4444444444444444,1,0,1,train
G0060,C09,N0,3,COBYLA,256,0.741943359375,0.0894241485973221,2,10,20,random_regular,10059,0.4444444444444444,0,0,1,train
G0060,C10,N0,3,COBYLA,512,0.742431640625,0.1039253618833744,2,10,20,random_regular,10059,0.4444444444444444,0,0,1,train
